ivanov,6926
ivanova,5206
kuznetsov,4789
smirnov,4406
popov,4351
petrov,3684
vasil'ev,3486
smirnova,3482
kuznetsova,3267
kozlov,3049
vasil'eva,2982
petrova,2848
novikov,2802
sokolov,2716
popova,2705
volkov,2654
fedorov,2640
mihajlov,2628
semenov,2615
pavlov,2593
morozov,2567
zajtsev,2385
stepanov,2328
andreev,2322
egorov,2305
nikitin,2258
mihajlova,2232
zaharov,2220
makarov,2219
alekseev,2210
kozlova,2206
fedorova,2195
sokolova,2183
jakovlev,2134
kovalenko,2116
nikolaev,2112
solov'ev,2101
bondarenko,2097
pavlova,2091
kovalev,2084
lebedev,2084
shevchenko,2061
vorob'ev,2020
andreeva,2016
romanov,2010
novikova,2009
semenova,2001
sergeev,1988
grigor'ev,1986
kiselev,1984
morozova,1980
volkova,1963
kravchenko,1936
baranov,1901
kuz'min,1886
alekseeva,1885
stepanova,1877
frolov,1851
mel'nikov,1834
borisov,1829
egorova,1793
orlov,1789
jakovleva,1777
sorokin,1775
makarova,1746
nikolaeva,1744
zajtseva,1721
tarasov,1711
dmitriev,1699
nikitina,1690
kovaleva,1684
medvedev,1684
zhukov,1681
poljakov,1669
lebedeva,1664
zhuk,1653
grigor'eva,1647
filippov,1643
solov'eva,1643
sidorov,1626
matveev,1603
gusev,1597
maksimov,1588
orlova,1587
bogdanov,1585
romanova,1572
zaharova,1566
sergeeva,1538
antonov,1532
osipov,1528
marchenko,1525
kiseleva,1511
belov,1501
aleksandrov,1494
savchenko,1486
korolev,1484
il'in,1480
moroz,1473
vlasov,1471
vorob'eva,1466
dmitrieva,1464
goncharov,1463
kuz'mina,1456
baranova,1441
bojko,1440
tkachenko,1436
ponomarev,1433
kulikov,1433
bogdanova,1430
kolesnikov,1428
danilov,1420
mel'nikova,1419
gavrilov,1388
karpov,1379
borisova,1371
titov,1364
filippova,1363
frolova,1362
denisov,1358
scherbakov,1354
novik,1352
mironov,1351
beljaev,1348
koval'chuk,1339
efimov,1338
timofeev,1333
zhukova,1333
sidorenko,1313
fomin,1312
matveeva,1310
kalinin,1307
zhuravlev,1305
aleksandrova,1294
antonova,1293
sorokina,1292
maksimova,1287
tarasova,1284
davydov,1284
afanas'ev,1279
kazakov,1278
komarov,1278
nazarov,1273
poljakova,1268
gerasimov,1265
bykov,1254
belova,1250
koroleva,1240
chernov,1234
abramov,1233
il'ina,1225
konovalov,1221
medvedeva,1211
stankevich,1198
markov,1190
fedotov,1188
makarevich,1186
karpovich,1178
timofeeva,1177
mel'nik,1177
osipova,1172
guseva,1163
tihonov,1158
vinogradov,1150
klimovich,1149
gavrilova,1141
martynov,1138
vinogradova,1135
ermakov,1135
ovchinnikov,1133
beljaeva,1133
gorbunov,1127
danilova,1123
goncharova,1118
golubev,1109
kulikova,1103
sidorova,1102
romanenko,1101
lysenko,1101
efimova,1100
emel'janov,1095
jurchenko,1094
titova,1090
klimenko,1090
kirillov,1083
mironova,1079
nikiforov,1078
tarasevich,1076
golubeva,1074
afanas'eva,1074
bogdanovich,1073
trofimov,1070
vasilenko,1069
vlasova,1063
moiseev,1061
savel'ev,1059
bondar',1056
karpova,1050
gerasimova,1049
rudenko,1048
kalinina,1041
zhuravleva,1041
makarenko,1038
efremov,1037
kotov,1031
kudrjavtsev,1031
nazarova,1027
scherbakova,1024
kazakova,1023
isaev,1022
karpenko,1022
potapov,1022
voronin,1020
lazarev,1014
komarova,1010
lukashevich,1008
borisenko,1007
denisova,1004
krylov,1004
mal'tsev,997
maslov,992
markova,989
davydova,988
chernyh,986
klimov,981
anisimov,980
timoshenko,976
kolesnikova,975
borisevich,971
malyshev,971
naumov,968
petrenko,967
abramova,964
pinchuk,962
nikiforova,962
savel'eva,953
ponomareva,949
fomina,947
leonov,947
belousov,942
emel'janova,941
bykova,940
kozlovskij,937
tihonova,937
kuz'menko,935
kondrat'ev,934
fedotova,926
chernova,925
filatov,925
prihod'ko,924
murashko,920
krylova,919
kazak,919
jushkevich,908
tarasenko,904
kozlovskaja,902
ermakova,902
rodionov,899
korol',897
kulik,897
ershov,896
pavlovich,896
kudrjavtseva,895
pashkevich,894
konovalova,891
dubovik,883
levchenko,883
nesterenko,882
judin,882
trofimova,882
arhipov,881
kotova,879
pavlenko,878
karimov,875
luk'janov,873
martynova,871
nesterov,871
drozdov,871
prokopenko,870
bondarev,869
kozel,866
evdokimov,865
gavrilenko,861
matskevich,859
petrovich,859
gorbunova,858
tereschenko,856
savitskaja,856
naumenko,854
zuev,853
lobanov,852
kravtsov,850
zajats,850
haritonov,849
anisimova,848
prohorov,848
loginov,847
savin,846
savitskij,842
kondrat'eva,841
sobolev,841
koval',839
drozd,839
kirillova,837
denisenko,836
tkachev,835
kolesnik,834
efremova,833
ovchinnikova,833
vashkevich,831
kisel',828
markevich,827
ibragimov,823
matusevich,821
nazarenko,821
litvinov,820
grishin,819
naumova,819
miheev,818
adamovich,817
shevchuk,817
maksimenko,816
hasanov,815
ushakov,815
klimova,814
ignatovich,811
velichko,809
potapova,809
terent'ev,806
safonov,805
plotnikov,805
sakovich,804
malysheva,801
golub,798
radchenko,798
shul'ga,796
valeev,794
ignatenko,794
krasnov,792
kondratenko,790
abramovich,789
gajduk,788
gorbachev,787
belousova,786
voronov,785
gerasimovich,783
kireev,782
knjazev,780
shishkin,780
voronina,780
soboleva,779
loginova,779
zhdanovich,778
galkin,776
dashkevich,776
moiseeva,774
jaroshevich,774
fedorenko,772
rusak,770
borodin,770
leonova,769
tsvetkov,766
petuhov,766
stepanenko,764
safronov,763
levin,763
shevtsov,763
tsvetkova,762
ignat'ev,762
vasilevskij,762
mischenko,762
eliseev,761
birjukov,760
vlasenko,760
demidov,759
maslova,758
mal'tseva,757
drozdova,754
panov,754
grischenko,754
shestakov,753
vasilevskaja,753
alekseenko,751
beljakov,750
moiseenko,749
terent'eva,748
prohorova,747
rjabov,746
kuleshov,746
tret'jakov,744
kuz'mich,744
soroka,742
gurinovich,741
lazareva,741
harchenko,739
rodionova,738
konstantinov,735
sharipov,735
romanovich,735
gorbacheva,734
arhipova,733
akulich,733
gerasimenko,732
baranovskij,729
rumjantseva,729
poznjak,727
bogdan,727
ermolenko,727
filatova,726
vorobej,726
kostjuk,724
nesterova,723
isaeva,722
chistjakov,722
martynenko,721
aksenov,721
kostin,720
zueva,720
panova,717
homich,717
bychkov,717
leont'ev,716
nikitenko,715
kravtsova,713
seleznev,713
tokarev,712
nikulin,711
savina,710
filimonov,709
rumjantsev,709
ershova,708
ignat'eva,707
jurkevich,707
solovej,706
krjukov,706
pozdnjakov,705
ahmetov,704
isakov,703
mitskevich,703
miroshnichenko,703
hohlov,703
zhdanov,703
fedorovich,702
panchenko,702
borovik,702
urbanovich,701
chernjak,701
shpak,700
kravchuk,700
burak,700
savchuk,699
latypov,699
nesterovich,698
korzun,697
simonov,697
kasperovich,697
judina,697
muhin,692
demin,692
gorshkov,692
romanjuk,691
skvortsov,690
rybakov,690
voronova,690
luk'janova,688
galimov,687
molchanov,687
ermolaev,686
jusupov,685
haritonova,685
bobrov,685
poleschuk,684
gromyko,683
lobanova,683
novitskaja,683
evdokimova,682
babich,681
ponomarenko,680
sokolovskij,679
sazonov,679
konstantinova,679
davidovich,678
petuhova,678
korotkevich,678
gromov,678
tret'jakova,676
bol'shakov,676
novitskij,676
suvorov,676
kudrjashov,676
gorbach,675
eremenko,674
kulakov,673
miheeva,673
petrovskij,673
grachev,672
fadeev,672
olejnik,672
malahov,671
chernyshev,670
bondareva,670
sidorovich,668
prokopovich,667
goncharenko,667
zhukovskaja,666
litvinova,666
vasilevich,666
